N,density,flux
500,0.5,130
225,0.225,212
345,0.345,184
226,0.226,239
628,0.628,101
227,0.227,197
346,0.346,171
501,0.501,159
228,0.228,244
347,0.347,184
229,0.229,240
629,0.629,90
502,0.502,140
230,0.23,245
348,0.348,202
231,0.231,219
503,0.503,140
349,0.349,206
232,0.232,216
630,0.63,101
233,0.233,210
350,0.35,180
504,0.504,131
234,0.234,241
351,0.351,169
631,0.631,97
235,0.235,242
505,0.505,140
236,0.236,207
352,0.352,199
237,0.237,234
632,0.632,101
353,0.353,175
506,0.506,154
238,0.238,229
239,0.239,236
354,0.354,175
240,0.24,238
633,0.633,97
507,0.507,134
355,0.355,203
241,0.241,236
242,0.242,236
356,0.356,200
508,0.508,129
634,0.634,94
243,0.243,227
357,0.357,217
244,0.244,217
509,0.509,139
245,0.245,237
358,0.358,174
635,0.635,105
246,0.246,233
510,0.51,129
359,0.359,181
247,0.247,245
636,0.636,102
360,0.36,168
248,0.248,195
511,0.511,134
249,0.249,239
361,0.361,206
250,0.25,242
637,0.637,106
512,0.512,147
362,0.362,194
251,0.251,249
252,0.252,211
363,0.363,184
513,0.513,145
253,0.253,239
638,0.638,82
364,0.364,194
254,0.254,215
514,0.514,160
255,0.255,240
365,0.365,198
639,0.639,116
256,0.256,219
515,0.515,131
366,0.366,191
257,0.257,241
258,0.258,197
640,0.64,97
367,0.367,198
516,0.516,154
259,0.259,182
368,0.368,188
260,0.26,212
641,0.641,100
517,0.517,124
369,0.369,164
261,0.261,182
262,0.262,210
370,0.37,191
518,0.518,142
642,0.642,98
371,0.371,181
691,0.691,76
519,0.519,136
372,0.372,181
643,0.643,92
520,0.52,130
373,0.373,174
692,0.692,89
644,0.644,90
374,0.374,185
521,0.521,120
375,0.375,189
693,0.693,88
645,0.645,86
522,0.522,133
376,0.376,176
377,0.377,184
694,0.694,72
523,0.523,123
646,0.646,101
378,0.378,171
524,0.524,104
695,0.695,96
647,0.647,97
379,0.379,185
525,0.525,133
380,0.38,191
696,0.696,77
648,0.648,98
381,0.381,184
526,0.526,127
382,0.382,186
649,0.649,85
697,0.697,84
527,0.527,140
383,0.383,166
384,0.384,179
528,0.528,120
650,0.65,82
698,0.698,82
385,0.385,188
529,0.529,142
651,0.651,87
386,0.386,196
699,0.699,84
530,0.53,136
387,0.387,169
652,0.652,100
700,0.7,82
388,0.388,176
531,0.531,141
389,0.389,173
653,0.653,78
532,0.532,141
701,0.701,79
390,0.39,174
654,0.654,87
533,0.533,133
391,0.391,182
702,0.702,74
392,0.392,161
534,0.534,121
655,0.655,78
393,0.393,184
703,0.703,76
535,0.535,126
394,0.394,167
656,0.656,91
536,0.536,125
704,0.704,67
395,0.395,179
657,0.657,99
396,0.396,165
537,0.537,146
705,0.705,80
397,0.397,202
658,0.658,97
538,0.538,124
398,0.398,172
706,0.706,73
399,0.399,166
539,0.539,140
659,0.659,99
400,0.4,181
707,0.707,71
540,0.54,146
660,0.66,80
401,0.401,174
541,0.541,121
708,0.708,75
402,0.402,167
661,0.661,89
403,0.403,166
542,0.542,119
709,0.709,69
404,0.404,158
662,0.662,91
543,0.543,124
405,0.405,153
710,0.71,71
663,0.663,93
544,0.544,129
406,0.406,184
407,0.407,181
545,0.545,116
711,0.711,82
664,0.664,87
408,0.408,164
546,0.546,140
712,0.712,76
665,0.665,78
409,0.409,171
547,0.547,122
410,0.41,144
666,0.666,98
713,0.713,66
411,0.411,164
548,0.548,122
412,0.412,184
667,0.667,91
714,0.714,68
549,0.549,127
413,0.413,169
668,0.668,89
550,0.55,129
715,0.715,69
414,0.414,177
415,0.415,139
551,0.551,126
669,0.669,78
716,0.716,66
416,0.416,165
552,0.552,128
670,0.67,99
417,0.417,149
717,0.717,54
553,0.553,128
418,0.418,151
671,0.671,73
554,0.554,136
419,0.419,176
718,0.718,66
420,0.42,158
672,0.672,91
555,0.555,110
719,0.719,81
421,0.421,170
556,0.556,117
673,0.673,84
422,0.422,175
720,0.72,63
557,0.557,123
423,0.423,155
674,0.674,86
424,0.424,181
721,0.721,76
558,0.558,126
675,0.675,79
425,0.425,167
559,0.559,119
722,0.722,66
426,0.426,163
676,0.676,83
560,0.56,129
427,0.427,158
723,0.723,76
428,0.428,169
677,0.677,86
561,0.561,133
429,0.429,155
724,0.724,77
562,0.562,137
678,0.678,81
430,0.43,152
563,0.563,122
725,0.725,73
431,0.431,139
679,0.679,83
432,0.432,134
564,0.564,122
726,0.726,64
680,0.68,89
433,0.433,158
565,0.565,116
434,0.434,178
727,0.727,74
681,0.681,76
566,0.566,106
435,0.435,168
728,0.728,69
682,0.682,82
567,0.567,129
436,0.436,172
437,0.437,141
568,0.568,116
683,0.683,75
729,0.729,72
438,0.438,162
569,0.569,127
684,0.684,81
439,0.439,156
730,0.73,63
570,0.57,128
440,0.44,148
685,0.685,80
731,0.731,65
441,0.441,182
571,0.571,129
442,0.442,169
686,0.686,81
732,0.732,75
572,0.572,125
443,0.443,159
687,0.687,83
573,0.573,117
733,0.733,73
444,0.444,151
445,0.445,143
574,0.574,113
688,0.688,79
734,0.734,76
446,0.446,166
575,0.575,110
689,0.689,72
447,0.447,152
735,0.735,62
576,0.576,124
690,0.69,80
769,0.769,51
577,0.577,127
736,0.736,57
827,0.827,33
578,0.578,116
770,0.77,54
737,0.737,63
579,0.579,118
828,0.828,41
738,0.738,60
771,0.771,52
580,0.58,97
829,0.829,30
739,0.739,61
772,0.772,64
581,0.581,111
582,0.582,130
740,0.74,73
830,0.83,36
773,0.773,49
583,0.583,115
741,0.741,66
774,0.774,59
831,0.831,31
584,0.584,127
742,0.742,52
775,0.775,58
585,0.585,113
832,0.832,36
743,0.743,67
586,0.586,117
776,0.776,56
833,0.833,28
744,0.744,59
871,0.871,22
777,0.777,62
834,0.834,36
745,0.745,59
778,0.778,44
872,0.872,26
835,0.835,38
746,0.746,72
779,0.779,44
873,0.873,23
836,0.836,36
747,0.747,61
780,0.78,66
874,0.874,24
748,0.748,58
837,0.837,35
781,0.781,53
749,0.749,68
875,0.875,19
838,0.838,31
782,0.782,40
750,0.75,53
876,0.876,20
