N,density,flux
209,0.209,210
451,0.451,138
671,0.671,78
584,0.584,105
292,0.292,226
210,0.21,211
379,0.379,184
638,0.638,97
211,0.211,210
521,0.521,133
293,0.293,222
452,0.452,157
380,0.38,216
212,0.212,212
585,0.585,126
672,0.672,86
294,0.294,208
213,0.213,219
453,0.453,132
639,0.639,98
381,0.381,179
522,0.522,137
295,0.295,228
214,0.214,218
586,0.586,133
215,0.215,216
382,0.382,192
673,0.673,92
296,0.296,205
454,0.454,154
523,0.523,142
216,0.216,215
640,0.64,92
297,0.297,209
383,0.383,172
217,0.217,218
587,0.587,113
455,0.455,158
674,0.674,81
218,0.218,220
298,0.298,186
524,0.524,145
384,0.384,171
641,0.641,90
219,0.219,218
299,0.299,226
456,0.456,164
588,0.588,127
220,0.22,222
385,0.385,183
525,0.525,141
300,0.3,193
675,0.675,67
221,0.221,222
642,0.642,91
386,0.386,172
457,0.457,159
222,0.222,217
301,0.301,229
589,0.589,104
223,0.223,222
526,0.526,130
387,0.387,164
302,0.302,197
676,0.676,61
458,0.458,128
224,0.224,224
643,0.643,102
590,0.59,115
303,0.303,187
388,0.388,166
225,0.225,218
527,0.527,153
459,0.459,159
226,0.226,225
304,0.304,222
389,0.389,182
677,0.677,90
644,0.644,96
227,0.227,225
591,0.591,104
305,0.305,198
528,0.528,126
460,0.46,166
228,0.228,218
390,0.39,165
306,0.306,196
229,0.229,220
678,0.678,99
592,0.592,120
645,0.645,89
391,0.391,179
461,0.461,135
230,0.23,232
529,0.529,140
307,0.307,206
231,0.231,228
392,0.392,165
308,0.308,203
593,0.593,111
462,0.462,145
679,0.679,75
232,0.232,227
646,0.646,94
530,0.53,137
393,0.393,173
309,0.309,205
233,0.233,231
463,0.463,150
234,0.234,226
594,0.594,122
310,0.31,211
394,0.394,149
647,0.647,96
531,0.531,133
680,0.68,81
235,0.235,216
311,0.311,189
464,0.464,140
395,0.395,171
236,0.236,223
595,0.595,104
312,0.312,233
532,0.532,132
237,0.237,228
648,0.648,75
681,0.681,85
396,0.396,187
465,0.465,151
238,0.238,228
313,0.313,209
596,0.596,101
397,0.397,179
533,0.533,123
239,0.239,229
314,0.314,204
649,0.649,87
466,0.466,153
682,0.682,80
240,0.24,209
398,0.398,183
315,0.315,163
597,0.597,113
241,0.241,228
534,0.534,130
467,0.467,156
650,0.65,96
399,0.399,188
316,0.316,204
242,0.242,231
683,0.683,90
598,0.598,110
243,0.243,231
317,0.317,212
400,0.4,171
535,0.535,125
468,0.468,163
244,0.244,232
651,0.651,98
318,0.318,168
684,0.684,88
401,0.401,167
599,0.599,106
469,0.469,141
536,0.536,119
319,0.319,201
402,0.402,161
652,0.652,89
707,0.707,77
320,0.32,178
685,0.685,81
470,0.47,152
600,0.6,109
537,0.537,107
403,0.403,172
321,0.321,200
653,0.653,82
471,0.471,151
404,0.404,178
322,0.322,190
708,0.708,85
601,0.601,99
686,0.686,87
538,0.538,126
405,0.405,169
323,0.323,189
472,0.472,150
654,0.654,103
602,0.602,110
539,0.539,133
406,0.406,185
687,0.687,74
324,0.324,180
709,0.709,78
473,0.473,151
325,0.325,182
407,0.407,175
655,0.655,93
603,0.603,96
540,0.54,122
688,0.688,74
326,0.326,202
474,0.474,155
408,0.408,176
710,0.71,62
656,0.656,84
327,0.327,222
604,0.604,113
541,0.541,138
409,0.409,187
475,0.475,146
689,0.689,73
328,0.328,224
410,0.41,169
711,0.711,74
605,0.605,104
542,0.542,115
657,0.657,84
476,0.476,164
329,0.329,176
411,0.411,152
690,0.69,78
330,0.33,187
606,0.606,114
477,0.477,154
543,0.543,119
658,0.658,88
712,0.712,82
412,0.412,163
331,0.331,190
691,0.691,71
478,0.478,150
413,0.413,178
607,0.607,105
332,0.332,180
544,0.544,136
659,0.659,89
713,0.713,64
414,0.414,149
333,0.333,217
479,0.479,165
692,0.692,84
608,0.608,103
545,0.545,131
334,0.334,187
660,0.66,87
415,0.415,166
480,0.48,141
714,0.714,75
335,0.335,198
693,0.693,72
546,0.546,119
416,0.416,163
609,0.609,108
661,0.661,82
336,0.336,201
481,0.481,162
417,0.417,181
547,0.547,137
610,0.61,98
337,0.337,236
715,0.715,76
694,0.694,74
418,0.418,146
482,0.482,163
662,0.662,75
338,0.338,198
611,0.611,104
548,0.548,146
419,0.419,160
695,0.695,86
483,0.483,151
339,0.339,188
716,0.716,80
663,0.663,92
420,0.42,188
612,0.612,113
549,0.549,127
484,0.484,144
696,0.696,85
421,0.421,174
664,0.664,78
744,0.744,76
717,0.717,77
550,0.55,131
613,0.613,106
485,0.485,166
422,0.422,158
697,0.697,51
777,0.777,63
486,0.486,142
614,0.614,106
551,0.551,124
718,0.718,89
745,0.745,57
805,0.805,43
698,0.698,65
487,0.487,139
552,0.552,137
615,0.615,114
778,0.778,58
719,0.719,80
746,0.746,72
488,0.488,152
806,0.806,46
699,0.699,76
553,0.553,133
830,0.83,36
779,0.779,48
489,0.489,145
720,0.72,69
747,0.747,72
700,0.7,78
554,0.554,120
807,0.807,52
490,0.49,148
780,0.78,52
831,0.831,29
721,0.721,66
555,0.555,128
748,0.748,68
701,0.701,75
491,0.491,148
808,0.808,50
781,0.781,40
556,0.556,130
832,0.832,35
702,0.702,77
722,0.722,72
492,0.492,155
749,0.749,64
809,0.809,45
557,0.557,124
493,0.493,146
782,0.782,52
703,0.703,89
833,0.833,37
723,0.723,64
750,0.75,56
810,0.81,45
494,0.494,145
558,0.558,109
783,0.783,52
704,0.704,72
834,0.834,32
724,0.724,64
495,0.495,138
559,0.559,130
751,0.751,61
811,0.811,39
705,0.705,75
784,0.784,50
835,0.835,35
725,0.725,67
852,0.852,28
752,0.752,76
812,0.812,35
871,0.871,12
706,0.706,70
785,0.785,52
726,0.726,58
836,0.836,33
753,0.753,76
813,0.813,37
853,0.853,26
888,0.888,7
872,0.872,24
786,0.786,54
727,0.727,65
837,0.837,34
754,0.754,52
814,0.814,37
787,0.787,47
854,0.854,32
889,0.889,9
873,0.873,21
728,0.728,70
838,0.838,29
755,0.755,61
815,0.815,44
788,0.788,45
890,0.89,12
855,0.855,25
729,0.729,62
874,0.874,18
839,0.839,42
816,0.816,28
756,0.756,54
789,0.789,51
891,0.891,19
856,0.856,20
730,0.73,61
840,0.84,24
875,0.875,22
817,0.817,41
757,0.757,57
790,0.79,49
892,0.892,17
731,0.731,73
857,0.857,26
841,0.841,26
818,0.818,45
876,0.876,17
758,0.758,51
791,0.791,57
732,0.732,63
893,0.893,13
842,0.842,30
858,0.858,18
819,0.819,41
792,0.792,57
759,0.759,57
877,0.877,25
733,0.733,65
894,0.894,13
843,0.843,32
820,0.82,37
793,0.793,46
859,0.859,16
760,0.76,60
878,0.878,19
734,0.734,62
895,0.895,11
844,0.844,38
794,0.794,42
821,0.821,46
761,0.761,68
860,0.86,22
735,0.735,82
879,0.879,13
845,0.845,25
896,0.896,13
795,0.795,52
822,0.822,40
762,0.762,54
861,0.861,29
736,0.736,77
880,0.88,21
796,0.796,40
846,0.846,26
823,0.823,36
897,0.897,21
763,0.763,64
737,0.737,70
862,0.862,19
797,0.797,42
847,0.847,24
881,0.881,16
824,0.824,29
898,0.898,20
764,0.764,71
738,0.738,58
863,0.863,21
798,0.798,55
848,0.848,26
882,0.882,16
825,0.825,34
765,0.765,54
899,0.899,16
739,0.739,66
799,0.799,52
864,0.864,27
849,0.849,27
826,0.826,32
883,0.883,17
766,0.766,49
740,0.74,57
900,0.9,12
800,0.8,33
850,0.85,28
865,0.865,31
827,0.827,39
767,0.767,61
884,0.884,34
741,0.741,58
901,0.901,6
801,0.801,48
851,0.851,25
866,0.866,30
828,0.828,34
742,0.742,60
768,0.768,53
802,0.802,47
885,0.885,18
902,0.902,15
903,0.903,6
829,0.829,36
867,0.867,21
743,0.743,58
769,0.769,55
803,0.803,58
916,0.916,9
886,0.886,19
904,0.904,12
927,0.927,7
868,0.868,36
804,0.804,44
770,0.77,55
937,0.937,0
917,0.917,9
887,0.887,19
905,0.905,13
928,0.928,2
771,0.771,44
869,0.869,18
945,0.945,0
938,0.938,0
918,0.918,14
906,0.906,8
952,0.952,0
929,0.929,0
772,0.772,64
946,0.946,0
870,0.87,21
919,0.919,8
939,0.939,6
907,0.907,10
953,0.953,0
930,0.93,0
773,0.773,54
947,0.947,0
920,0.92,7
959,0.959,0
908,0.908,10
940,0.94,0
774,0.774,54
931,0.931,3
954,0.954,0
948,0.948,2
921,0.921,9
960,0.96,0
909,0.909,11
775,0.775,54
941,0.941,0
932,0.932,4
955,0.955,0
949,0.949,0
922,0.922,3
910,0.91,13
961,0.961,0
776,0.776,49
942,0.942,0
933,0.933,0
950,0.95,0
956,0.956,0
923,0.923,4
911,0.911,7
962,0.962,0
965,0.965,0
934,0.934,10
943,0.943,0
951,0.951,0
924,0.924,7
957,0.957,0
912,0.912,9
963,0.963,0
935,0.935,0
966,0.966,0
944,0.944,0
970,0.97,0
925,0.925,0
913,0.913,5
958,0.958,0
936,0.936,0
964,0.964,0
967,0.967,0
971,0.971,0
926,0.926,4
974,0.974,0
914,0.914,5
978,0.978,0
981,0.981,0
984,0.984,0
968,0.968,0
972,0.972,0
987,0.987,0
975,0.975,0
915,0.915,14
979,0.979,0
982,0.982,0
985,0.985,0
973,0.973,0
988,0.988,0
969,0.969,0
989,0.989,0
976,0.976,0
980,0.98,0
983,0.983,0
991,0.991,0
993,0.993,0
986,0.986,0
990,0.99,0
994,0.994,0
977,0.977,0
996,0.996,0
995,0.995,0
992,0.992,0
997,0.997,0
999,0.999,0
998,0.998,0
1000,1,0
