0,0
0.241525,2
0.438852,4
0.450585,4
0.792801,7
1.06283,9
0.835201,8
1.02392,9
0,0
1.13095,2
1.13095,2
0,0
1.59056,12
1.842,13
2.22727,16
1.96048,15
2.17261,16
2.21112,17
3.18353,23
3.5185,25
3.13361,23
22.2958,153
3.46273,25
3.4021,25
3.08124,24
4.36328,31
4.38706,32
35.4608,226
3.94059,29
23.1007,155
34.3235,195
5.49085,39
4.96054,35
4.59045,33
4.66251,32
4.20616,31
21.6583,153
37.6045,174
6.92056,49
5.48812,41
44.8539,126
6.4109,43
34.6588,227
33.1708,150
5.95273,43
59.9788,113
5.21474,37
22.3416,156
36.1573,195
6.49585,47
5.98477,44
6.33764,47
6.89378,47
22.6018,153
6.4876,46
36.0669,214
7.44532,54
7.03688,54
22.9273,155
47.0763,168
7.26685,52
34.0228,172
6.50378,47
7.00799,51
65.4596,121
6.59619,48
34.7724,225
22.3597,157
54.8591,131
7.87106,57
7.3437,54
82.6931,101
8.01206,61
22.6772,155
8.48172,57
35.9455,165
8.42338,61
37.7318,199
7.92369,59
42.219,172
23.0052,156
9.12893,65
9.91817,69
9.75013,70
23.4613,161
9.8491,73
64.4006,128
37.6422,205
53.0574,139
38.3629,214
9.09906,67
9.58414,69
24.4719,156
76.9266,122
9.3845,70
10.0015,73
52.7097,143
23.788,158
36.4644,232
10.2516,76
9.52078,69
38.0347,209
10.3157,74
24.0872,164
10.7275,79
10.1519,76
48.9968,131
64.2818,119
38.8768,212
24.2422,161
11.2294,83
12.1416,87
40.1789,162
36.8304,196
11.6745,81
23.4874,162
76.1827,104
11.3926,82
36.1023,232
10.913,81
24.3855,161
11.3769,81
12.037,88
38.3586,176
23.4545,163
53.4355,128
74.3964,123
12.5864,92
37.4191,200
34.1981,157
10.899,80
13.3033,97
27.1482,167
11.8383,89
89.3252,105
36.3362,234
33.2218,185
13.5238,96
24.3229,163
12.9203,91
12.7973,90
23.9601,163
38.9201,173
62.5053,128
12.9086,92
60.953,121
36.8913,197
36.369,165
13.6175,99
25.0907,169
13.5605,95
12.3851,93
27.394,171
33.4115,199
78.1529,106
14.2017,105
37.0156,171
13.8044,99
35.4189,149
25.7941,172
13.8073,100
55.3537,130
41.8495,149
35.8667,195
14.608,105
25.3731,170
15.2913,109
35.3993,178
15.1444,108
25.6395,170
14.7331,107
35.6029,226
60.2795,108
41.995,155
14.7447,105
26.6133,176
56.4653,117
50.4808,131
33.1206,178
14.2725,108
34.8009,215
14.9859,109
25.9297,167
15.5951,113
16.9614,117
36.0808,193
26.0827,174
37.2208,220
16.9739,120
40.2109,170
16.9393,120
27.4482,178
75.7593,90
76.4879,108
48.7892,144
15.4951,110
37.4236,198
35.9159,202
15.3529,114
27.164,174
16.1701,122
27.2451,176
17.7796,126
35.4441,181
37.126,190
16.6646,122
33.6344,205
76.5999,107
16.3392,117
80.8566,113
26.8301,178
40.2383,139
17.2378,120
38.5365,186
26.3609,182
17.907,131
38.0625,190
50.2371,157
17.7879,127
26.2997,177
36.2736,212
18.3039,127
62.6979,115
27.2628,181
18.4961,131
70.8541,136
40.15,180
63.7445,109
17.9967,127
36.5292,222
27.6682,181
45.2823,144
17.8792,127
18.9119,133
